Country,Time,Total Exports Value ($US),Customs Import Value (Gen) ($US)
Brunei,July 2019,"11,792,144","543,924"
Brunei,August 2019,"8,094,134","8,389,336"
Brunei,September 2019,"7,373,759","836,111"
Brunei,October 2019,"7,891,473","1,682,316"
Brunei,November 2019,"6,622,366","1,447,086"
Brunei,December 2019,"8,591,720","959,640"
Bulgaria,January 2016,"14,058,323","46,700,973"
Bulgaria,February 2016,"20,652,624","49,870,301"
Bulgaria,March 2016,"23,695,416","46,996,449"
Bulgaria,April 2016,"27,660,690","48,961,339"
Bulgaria,May 2016,"21,931,112","52,869,455"
Bulgaria,June 2016,"21,100,194","47,586,482"
Bulgaria,July 2016,"23,058,323","53,738,607"
Bulgaria,August 2016,"16,002,426","50,742,310"
Bulgaria,September 2016,"20,316,008","45,672,206"
Bulgaria,October 2016,"16,589,428","51,483,267"
Bulgaria,November 2016,"24,850,324","56,752,847"
Bulgaria,December 2016,"39,104,595","52,293,727"
Bulgaria,January 2017,"14,932,018","52,030,505"
Bulgaria,February 2017,"17,837,014","40,758,152"
Bulgaria,March 2017,"28,846,768","62,762,526"
Bulgaria,April 2017,"16,680,891","42,371,351"
Bulgaria,May 2017,"40,139,500","56,394,634"
Bulgaria,June 2017,"97,776,436","50,176,728"
Bulgaria,July 2017,"18,127,964","61,627,327"
Bulgaria,August 2017,"19,238,211","61,186,399"
Bulgaria,September 2017,"20,912,828","58,836,721"
Bulgaria,October 2017,"25,695,932","56,604,949"
Bulgaria,November 2017,"22,758,130","63,709,664"
Bulgaria,December 2017,"58,498,881","52,349,315"
Bulgaria,January 2018,"20,792,581","74,061,348"
Bulgaria,February 2018,"22,247,135","55,905,489"
Bulgaria,March 2018,"29,621,822","107,041,331"
Bulgaria,April 2018,"24,005,972","58,865,656"
Bulgaria,May 2018,"26,616,026","59,626,212"
Bulgaria,June 2018,"28,620,856","131,830,831"
Bulgaria,July 2018,"18,850,406","94,632,095"
Bulgaria,August 2018,"29,730,283","111,317,726"
Bulgaria,September 2018,"49,592,279","72,898,695"
Bulgaria,October 2018,"64,041,535","80,127,774"
Bulgaria,November 2018,"23,127,439","77,043,222"
Bulgaria,December 2018,"32,804,188","62,602,129"
Bulgaria,January 2019,"20,699,343","69,444,627"
Bulgaria,February 2019,"63,899,776","96,149,114"
Bulgaria,March 2019,"63,871,042","80,524,004"
Bulgaria,April 2019,"35,789,411","79,612,974"
Bulgaria,May 2019,"52,001,695","76,409,643"
Bulgaria,June 2019,"57,340,227","59,868,162"
Bulgaria,July 2019,"22,966,745","70,239,578"
Bulgaria,August 2019,"26,849,462","77,734,656"
Bulgaria,September 2019,"35,132,107","71,598,777"
Bulgaria,October 2019,"26,250,038","78,486,868"
Bulgaria,November 2019,"38,054,507","77,296,612"
Bulgaria,December 2019,"19,699,230","72,622,147"
Burkina Faso,January 2016,"4,101,678","172,703"
Burkina Faso,February 2016,"915,774","176,990"
Burkina Faso,March 2016,"2,924,595","257,653"
Burkina Faso,April 2016,"2,675,900","599,549"
Burkina Faso,May 2016,"1,343,199","323,914"
Burkina Faso,June 2016,"3,818,711","367,749"
Burkina Faso,July 2016,"1,043,103","452,555"
Burkina Faso,August 2016,"1,454,175","796,447"
Burkina Faso,September 2016,"4,016,470","212,733"
Burkina Faso,October 2016,"4,301,129","449,333"
Burkina Faso,November 2016,"7,503,582","138,061"
Burkina Faso,December 2016,"1,459,206","1,084,947"
Burkina Faso,January 2017,"6,254,080","410,799"
Burkina Faso,February 2017,"4,682,395","387,537"
Burkina Faso,March 2017,"6,243,496","70,483"
Burkina Faso,April 2017,"2,418,888","665,089"
Burkina Faso,May 2017,"5,467,787","863,449"
Burkina Faso,June 2017,"6,284,760","236,380"
Burkina Faso,July 2017,"2,476,245","264,342"
Burkina Faso,August 2017,"7,816,742","558,267"
Burkina Faso,September 2017,"2,510,529","218,536"
Burkina Faso,October 2017,"4,079,768","701,292"
Burkina Faso,November 2017,"4,020,486","186,431"
Burkina Faso,December 2017,"8,791,798","492,248"
Burkina Faso,January 2018,"1,522,517","188,198"
Burkina Faso,February 2018,"2,724,255","1,091,930"
Burkina Faso,March 2018,"8,678,365","265,846"
Burkina Faso,April 2018,"4,894,346","245,098"
Burkina Faso,May 2018,"4,052,565","582,777"
Burkina Faso,June 2018,"6,827,056","100,665"
Burkina Faso,July 2018,"5,812,836","232,399"
Burkina Faso,August 2018,"1,884,064","318,927"
Burkina Faso,September 2018,"3,346,070","1,105,229"
Burkina Faso,October 2018,"4,148,704","284,336"
Burkina Faso,November 2018,"4,730,454","464,931"
Burkina Faso,December 2018,"10,868,083","216,631"
Burkina Faso,January 2019,"3,663,988","587,243"
Burkina Faso,February 2019,"5,873,117","86,601"
Burkina Faso,March 2019,"10,845,993","385,739"
Burkina Faso,April 2019,"2,021,462","444,717"
Burkina Faso,May 2019,"3,806,018","301,416"
Burkina Faso,June 2019,"3,997,128","131,564"
Burkina Faso,July 2019,"3,298,500","175,335"
Burkina Faso,August 2019,"6,378,232","898,392"
Burkina Faso,September 2019,"6,348,154","1,447,994"
Burkina Faso,October 2019,"5,808,848","720,778"
Burkina Faso,November 2019,"5,996,616","465,407"
Burkina Faso,December 2019,"8,162,691","331,396"
Burma,January 2016,"15,079,056","14,373,733"
Burma,February 2016,"52,647,763","18,340,245"
Burma,March 2016,"8,093,806","15,147,755"
Burma,April 2016,"11,044,825","19,419,545"
Burma,May 2016,"8,161,088","19,101,473"
Burma,June 2016,"8,345,198","15,798,551"
Burma,July 2016,"13,569,569","20,229,955"
Burma,August 2016,"11,898,105","30,869,593"
Burma,September 2016,"12,977,286","23,638,261"
Burma,October 2016,"15,744,305","25,080,741"
Burma,November 2016,"17,150,559","24,576,291"
Burma,December 2016,"20,938,341","18,129,135"
Burma,January 2017,"18,157,979","24,770,279"
Burma,February 2017,"18,164,993","25,106,047"
Burma,March 2017,"49,977,317","28,009,014"
Burma,April 2017,"15,258,720","24,893,378"
Burma,May 2017,"11,289,173","30,369,361"
Burma,June 2017,"14,195,046","20,181,323"
Burma,July 2017,"12,894,029","31,755,140"
Burma,August 2017,"10,566,641","39,563,396"
Burma,September 2017,"10,917,162","35,874,314"
Burma,October 2017,"16,912,029","41,562,346"
Burma,November 2017,"16,162,914","35,014,483"
Burma,December 2017,"16,784,286","29,256,254"
Burma,January 2018,"18,722,928","32,813,046"
Burma,February 2018,"19,010,428","31,926,715"
Burma,March 2018,"27,626,962","27,775,702"
Burma,April 2018,"24,218,633","38,213,547"
Burma,May 2018,"22,678,471","39,123,766"
Burma,June 2018,"23,108,833","28,851,344"
Burma,July 2018,"18,474,437","51,704,090"
Burma,August 2018,"17,416,545","48,369,363"
Burma,September 2018,"23,255,714","45,360,630"
Burma,October 2018,"18,267,400","52,259,497"
Burma,November 2018,"22,900,027","64,715,170"
Burma,December 2018,"24,990,285","34,341,720"
Burma,January 2019,"22,905,773","45,740,574"
Burma,February 2019,"30,797,177","58,536,913"
Burma,March 2019,"23,679,865","63,151,575"
Burma,April 2019,"27,389,028","50,319,807"
Burma,May 2019,"21,845,334","63,076,918"
Burma,June 2019,"23,783,958","52,097,712"
Burma,July 2019,"22,829,853","70,505,254"
Burma,August 2019,"22,432,835","78,067,861"
Burma,September 2019,"33,896,604","82,686,417"
Burma,October 2019,"30,474,788","107,184,035"
Burma,November 2019,"41,413,304","72,347,783"
Burma,December 2019,"45,481,537","77,087,070"
Burundi,January 2016,"2,907,174","980,048"
Burundi,February 2016,"148,857","837,853"
Burundi,March 2016,"188,879","245,338"
Burundi,April 2016,"71,320","810,975"
Burundi,May 2016,"189,822","330,155"
Burundi,June 2016,"53,806",908
Burundi,July 2016,"216,735","107,552"
Burundi,August 2016,"762,574","1,228"
Burundi,September 2016,"818,415","5,680"
Burundi,October 2016,"227,954","1,021,241"
Burundi,November 2016,"703,444","989,736"
Burundi,December 2016,"2,118,332","1,317,995"
Burundi,January 2017,"55,746","766,226"
Burundi,February 2017,"167,273","872,620"
Burundi,March 2017,"181,443","642,116"
Burundi,April 2017,"170,845","1,743,813"
Burundi,May 2017,"1,058,265","473,635"
Burundi,June 2017,"491,903","800,736"
Burundi,July 2017,"1,331,993","457,062"
Burundi,August 2017,"447,499","524,897"
Burundi,September 2017,"1,227,444","2,667"
Burundi,October 2017,"723,902","85,193"
Burundi,November 2017,"44,583","1,302,751"
Burundi,December 2017,"2,231,864","1,293,440"
Burundi,January 2018,"83,586","644,925"
Burundi,February 2018,"143,041","1,319,470"
Burundi,March 2018,"399,314","1,552,233"
Burundi,April 2018,"6,720,480","1,073,130"
Burundi,May 2018,"1,137,592","722,408"
Burundi,June 2018,"131,935","708,837"
Burundi,July 2018,"344,175","916,488"
Burundi,August 2018,"1,273,723","522,403"
Burundi,September 2018,"1,772,554","1,585,415"
Burundi,October 2018,"1,084,821","1,572,249"
Burundi,November 2018,"1,393,645","2,106,732"
Burundi,December 2018,"63,100","1,278,128"
Burundi,January 2019,"40,662","2,468,364"
Burundi,February 2019,"96,291","656,847"
Burundi,March 2019,"119,673","493,336"
Burundi,April 2019,"81,258","734,285"
Burundi,May 2019,"963,391","659,150"
Burundi,June 2019,"438,432","557,111"
Burundi,July 2019,"259,435","873,392"
Burundi,August 2019,"146,649","707,099"
Burundi,September 2019,"121,442","384,453"
Burundi,October 2019,"77,866","62,360"
Burundi,November 2019,"81,242","779,935"
Burundi,December 2019,"25,594","1,647,111"
Cabo Verde,January 2016,"770,417","332,991"
Cabo Verde,February 2016,"621,090","185,226"
Cabo Verde,March 2016,"142,106","130,717"
Cabo Verde,April 2016,"165,343","55,893"
Cabo Verde,May 2016,"506,469","332,728"
Cabo Verde,June 2016,"120,856","95,976"
Cabo Verde,July 2016,"203,000","321,483"
Cabo Verde,August 2016,"207,065","121,412"
Cabo Verde,September 2016,"4,555,415","988,659"
Cabo Verde,October 2016,"436,415","114,152"
Cabo Verde,November 2016,"510,578","1,084,985"
Cabo Verde,December 2016,"454,993","303,252"
Cabo Verde,January 2017,"245,433","278,786"
Cabo Verde,February 2017,"1,373,374","101,155"
Cabo Verde,March 2017,"310,106","145,532"
Cabo Verde,April 2017,"325,852","349,547"
Cabo Verde,May 2017,"385,512","539,883"
Cabo Verde,June 2017,"2,097,937","48,159"
Cabo Verde,July 2017,"529,522","401,510"
Cabo Verde,August 2017,"275,115","262,263"
Cabo Verde,September 2017,"1,697,539","556,736"
Cabo Verde,October 2017,"438,390","86,977"
Cabo Verde,November 2017,"422,067","503,293"
Cabo Verde,December 2017,"1,045,546","187,742"
Cabo Verde,January 2018,"215,319","296,874"
Cabo Verde,February 2018,"1,093,672","134,871"
Cabo Verde,March 2018,"220,525","304,852"
Cabo Verde,April 2018,"849,560","394,152"
Cabo Verde,May 2018,"2,218,690","341,880"
Cabo Verde,June 2018,"294,737","157,634"
Cabo Verde,July 2018,"661,959","179,532"
Cabo Verde,August 2018,"446,318","467,588"
Cabo Verde,September 2018,"336,413","42,033"
Cabo Verde,October 2018,"637,925","239,725"
Cabo Verde,November 2018,"1,355,812","859,449"
Cabo Verde,December 2018,"229,442","128,499"
Cabo Verde,January 2019,"610,576","438,818"
Cabo Verde,February 2019,"387,847","392,896"
Cabo Verde,March 2019,"239,633","484,964"
Cabo Verde,April 2019,"627,467","489,452"
Cabo Verde,May 2019,"261,635","146,309"
Cabo Verde,June 2019,"145,288","180,505"
Cabo Verde,July 2019,"435,180","198,965"
Cabo Verde,August 2019,"219,005","630,465"
Cabo Verde,September 2019,"722,686","105,532"
Cabo Verde,October 2019,"482,623","222,467"
Cabo Verde,November 2019,"3,006,285","75,657"
Cabo Verde,December 2019,"618,110","586,965"
Cambodia,January 2016,"33,078,707","228,039,487"
Cambodia,February 2016,"34,719,533","265,867,807"
Cambodia,March 2016,"29,603,230","212,313,999"
Cambodia,April 2016,"31,810,378","216,182,756"
Cambodia,May 2016,"31,296,596","208,619,851"
Cambodia,June 2016,"32,205,487","216,988,199"
Cambodia,July 2016,"27,480,490","258,393,842"
Cambodia,August 2016,"27,509,255","285,724,231"
Cambodia,September 2016,"30,933,421","270,999,692"
Cambodia,October 2016,"28,391,832","273,165,081"
Cambodia,November 2016,"27,387,567","196,810,279"
Cambodia,December 2016,"26,314,809","180,640,677"
Cambodia,January 2017,"28,264,640","255,810,425"
Cambodia,February 2017,"27,817,173","235,911,043"
Cambodia,March 2017,"32,556,709","226,767,209"
Cambodia,April 2017,"35,634,692","215,800,844"
Cambodia,May 2017,"28,885,537","209,005,654"
Cambodia,June 2017,"31,267,125","217,004,860"
Cambodia,July 2017,"33,036,189","302,122,023"
Cambodia,August 2017,"32,646,544","307,162,156"
Cambodia,September 2017,"36,398,125","314,084,496"
Cambodia,October 2017,"37,439,989","296,506,299"
Cambodia,November 2017,"37,700,780","243,037,954"
Cambodia,December 2017,"38,464,486","238,066,774"
Cambodia,January 2018,"25,161,369","325,976,395"
Cambodia,February 2018,"30,945,363","294,663,957"
Cambodia,March 2018,"39,629,726","282,627,008"
Cambodia,April 2018,"40,200,288","299,241,056"
Cambodia,May 2018,"37,401,272","262,747,126"
Cambodia,June 2018,"39,946,548","249,260,161"
Cambodia,July 2018,"30,577,710","393,992,130"
Cambodia,August 2018,"33,820,569","373,576,894"
Cambodia,September 2018,"43,394,221","372,403,094"
Cambodia,October 2018,"38,942,044","395,992,727"
Cambodia,November 2018,"43,559,318","271,800,434"
Cambodia,December 2018,"42,340,479","284,189,285"
Cambodia,January 2019,"34,602,617","400,350,573"
Cambodia,February 2019,"40,257,241","332,122,764"
Cambodia,March 2019,"47,506,015","383,457,977"
Cambodia,April 2019,"45,055,468","368,123,823"
Cambodia,May 2019,"50,268,590","392,096,071"
Cambodia,June 2019,"47,234,565","359,348,063"
Cambodia,July 2019,"42,333,164","508,020,860"
Cambodia,August 2019,"47,674,496","614,898,216"
Cambodia,September 2019,"44,989,837","600,727,366"
Cambodia,October 2019,"45,973,919","599,025,472"
Cambodia,November 2019,"38,767,127","398,296,622"
Cambodia,December 2019,"29,328,321","400,338,161"
Cameroon,January 2016,"13,085,594","5,473,042"
Cameroon,February 2016,"8,471,271","16,812,852"
Cameroon,March 2016,"24,085,536","6,901,085"
Cameroon,April 2016,"9,017,632","8,342,482"
Cameroon,May 2016,"8,577,729","15,410,950"
Cameroon,June 2016,"13,786,721","13,651,531"
Cameroon,July 2016,"35,756,073","5,148,364"
Cameroon,August 2016,"25,393,843","11,769,920"
Cameroon,September 2016,"18,015,449","27,914,256"
Cameroon,October 2016,"16,225,799","7,674,271"
Cameroon,November 2016,"8,509,760","23,163,208"
Cameroon,December 2016,"8,845,365","8,530,991"
Cameroon,January 2017,"6,729,608","18,969,951"
Cameroon,February 2017,"8,684,704","8,264,954"
Cameroon,March 2017,"14,367,131","19,388,967"
Cameroon,April 2017,"17,557,832","10,454,996"
Cameroon,May 2017,"17,012,432","7,793,927"
Cameroon,June 2017,"8,317,941","8,582,269"
Cameroon,July 2017,"7,820,198","9,371,954"
Cameroon,August 2017,"8,677,770","6,237,759"
Cameroon,September 2017,"16,593,118","6,713,689"
Cameroon,October 2017,"13,171,745","7,850,177"
Cameroon,November 2017,"10,224,487","6,956,001"
Cameroon,December 2017,"29,717,814","7,722,969"
Cameroon,January 2018,"30,113,693","16,817,655"
Cameroon,February 2018,"17,861,376","30,240,646"
Cameroon,March 2018,"14,179,456","11,052,296"
Cameroon,April 2018,"12,597,811","67,785,078"
Cameroon,May 2018,"7,358,548","6,881,862"
Cameroon,June 2018,"12,822,741","6,019,401"
Cameroon,July 2018,"10,875,014","8,089,179"
Cameroon,August 2018,"29,775,607","5,591,479"
Cameroon,September 2018,"8,887,512","10,484,358"
Cameroon,October 2018,"12,893,691","41,836,498"
Cameroon,November 2018,"10,941,350","7,468,339"
Cameroon,December 2018,"24,860,075","7,231,951"
Cameroon,January 2019,"14,407,495","10,842,610"
Cameroon,February 2019,"10,135,176","20,627,896"
Cameroon,March 2019,"14,131,735","9,529,064"
Cameroon,April 2019,"13,145,455","28,401,076"
Cameroon,May 2019,"9,771,999","5,475,415"
Cameroon,June 2019,"45,465,359","81,528,610"
Cameroon,July 2019,"12,398,635","7,305,580"
Cameroon,August 2019,"10,416,909","6,316,971"
Cameroon,September 2019,"19,997,075","5,084,867"
Cameroon,October 2019,"12,306,374","39,885,033"
Cameroon,November 2019,"9,197,510","69,742,226"
Cameroon,December 2019,"28,664,641","45,748,561"
Canada,January 2016,"19,700,273,865","22,268,349,212"
Canada,February 2016,"20,904,437,760","21,813,045,546"
Canada,March 2016,"23,252,724,610","23,179,425,295"
Canada,April 2016,"23,349,632,992","22,220,328,435"
Canada,May 2016,"23,075,089,765","23,021,956,439"
Canada,June 2016,"24,254,138,346","24,231,136,914"
Canada,July 2016,"20,897,796,066","21,608,554,179"
Canada,August 2016,"23,264,916,944","24,216,996,580"
Canada,September 2016,"22,661,275,543","23,748,952,106"
Canada,October 2016,"22,601,305,096","23,848,174,844"
Canada,November 2016,"21,668,474,397","24,409,721,743"
Canada,December 2016,"21,104,399,836","23,153,172,188"
Canada,January 2017,"20,911,901,914","24,390,145,396"
Canada,February 2017,"21,143,655,460","23,384,615,178"
Canada,March 2017,"25,001,725,984","25,997,909,759"
Canada,April 2017,"22,772,132,198","24,153,678,601"
Canada,May 2017,"24,911,843,649","26,288,561,062"
Canada,June 2017,"25,171,806,517","25,891,007,587"
Canada,July 2017,"21,812,269,408","22,800,971,236"
Canada,August 2017,"24,529,877,770","24,905,234,086"
Canada,September 2017,"24,128,220,507","24,211,011,221"
Canada,October 2017,"23,943,645,120","25,655,086,158"
Canada,November 2017,"25,142,452,287","26,131,356,710"
Canada,December 2017,"23,304,299,082","25,255,844,168"
Canada,January 2018,"22,640,517,513","26,184,737,239"
Canada,February 2018,"23,675,304,817","23,989,016,458"
Canada,March 2018,"27,266,553,880","26,863,536,838"
Canada,April 2018,"25,833,656,892","26,513,151,191"
Canada,May 2018,"27,066,361,975","28,153,059,880"
Canada,June 2018,"26,349,220,238","28,050,752,709"
Canada,July 2018,"23,707,541,297","26,849,235,040"
Canada,August 2018,"25,607,548,893","27,975,672,756"
Canada,September 2018,"24,585,778,856","26,308,406,729"
Canada,October 2018,"26,194,277,199","28,052,595,452"
Canada,November 2018,"24,490,499,758","25,640,340,310"
Canada,December 2018,"22,314,450,507","23,940,845,361"
Canada,January 2019,"22,635,317,085","23,389,226,281"
Canada,February 2019,"23,170,537,386","23,088,875,329"
Canada,March 2019,"26,438,716,116","27,745,772,729"
Canada,April 2019,"25,299,428,599","26,761,093,231"
Canada,May 2019,"26,149,936,181","29,232,184,775"
Canada,June 2019,"24,875,859,278","27,688,718,476"
Canada,July 2019,"23,441,119,124","26,798,206,893"
Canada,August 2019,"25,316,871,859","26,662,090,663"
Canada,September 2019,"24,306,454,722","26,882,308,778"
Canada,October 2019,"25,277,403,452","28,566,524,966"
Canada,November 2019,"23,431,863,675","25,260,164,589"
Canada,December 2019,"22,289,508,329","27,352,636,555"
Cayman Islands,January 2016,"49,452,196","4,607,052"
Cayman Islands,February 2016,"59,257,681","15,625,601"
Cayman Islands,March 2016,"69,616,532","11,237,845"
Cayman Islands,April 2016,"58,973,816","10,743,307"
Cayman Islands,May 2016,"81,600,120","9,063,831"
Cayman Islands,June 2016,"61,227,776","6,647,611"
Cayman Islands,July 2016,"52,358,387","12,068,276"
Cayman Islands,August 2016,"68,562,906","6,509,576"
Cayman Islands,September 2016,"65,939,685","4,242,844"
Cayman Islands,October 2016,"62,095,307","3,693,665"
Cayman Islands,November 2016,"64,467,817","1,128,241"
Cayman Islands,December 2016,"59,659,273","1,209,331"
Cayman Islands,January 2017,"58,734,771","1,849,706"
Cayman Islands,February 2017,"48,229,085","735,709"
Cayman Islands,March 2017,"66,545,867","3,346,724"
Cayman Islands,April 2017,"70,935,898","2,161,330"
Cayman Islands,May 2017,"88,479,242","1,224,513"
Cayman Islands,June 2017,"160,949,593","1,375,128"
Cayman Islands,July 2017,"80,447,785","5,278,694"
Cayman Islands,August 2017,"62,317,920","2,867,593"
Cayman Islands,September 2017,"42,004,000","2,467,910"
Cayman Islands,October 2017,"75,941,565","2,366,779"
Cayman Islands,November 2017,"73,942,828","28,467,722"
Cayman Islands,December 2017,"57,385,506","1,890,932"
Cayman Islands,January 2018,"69,985,951","1,920,582"
Cayman Islands,February 2018,"54,115,168","1,793,148"
Cayman Islands,March 2018,"86,014,563","3,579,253"
Cayman Islands,April 2018,"76,182,215","2,256,277"
Cayman Islands,May 2018,"63,472,003","2,145,965"
Cayman Islands,June 2018,"63,131,617","7,142,224"
Cayman Islands,July 2018,"57,329,097","1,453,732"
Cayman Islands,August 2018,"71,720,548","1,992,177"
Cayman Islands,September 2018,"59,850,822","2,736,749"
Cayman Islands,October 2018,"139,797,731","2,209,315"
Cayman Islands,November 2018,"138,888,563","3,398,584"
Cayman Islands,December 2018,"71,186,583","2,083,673"
Cayman Islands,January 2019,"106,834,358","2,245,723"
Cayman Islands,February 2019,"77,054,438","2,997,203"
Cayman Islands,March 2019,"130,883,188","5,540,480"
Cayman Islands,April 2019,"90,303,507","4,856,370"
Cayman Islands,May 2019,"59,288,292","9,031,521"
Cayman Islands,June 2019,"76,471,061","3,690,217"
Cayman Islands,July 2019,"67,585,236","860,136"
Cayman Islands,August 2019,"69,520,818","650,429"
Cayman Islands,September 2019,"210,335,120","418,705"
Cayman Islands,October 2019,"69,610,611","1,653,475"
Cayman Islands,November 2019,"93,921,640","1,180,785"
Cayman Islands,December 2019,"72,182,303","15,471,441"
Central African Republic,January 2016,"865,479","9,795"
Central African Republic,February 2016,"538,391","19,240"
Central African Republic,March 2016,"304,960","466,429"
Central African Republic,April 2016,"1,474,005","8,055"
Central African Republic,May 2016,"215,659","48,111"
Central African Republic,June 2016,"1,247,804","48,711"
Central African Republic,July 2016,"717,766","81,200"
Central African Republic,August 2016,"497,857","39,761"
Central African Republic,September 2016,"599,351","102,486"
Central African Republic,October 2016,"1,136,186","59,744"
Central African Republic,November 2016,"893,194","141,695"
Central African Republic,December 2016,"928,023","9,263"
Central African Republic,January 2017,"1,134,592","58,452"
Central African Republic,February 2017,"908,193","201,098"
Central African Republic,March 2017,"1,015,264","50,209"
Central African Republic,April 2017,"256,592","128,581"
Central African Republic,May 2017,"1,205,501","22,677"
Central African Republic,June 2017,"503,381","25,037"
Central African Republic,July 2017,"572,598","180,427"
Central African Republic,August 2017,"1,071,068","183,544"
Central African Republic,September 2017,"517,066","212,303"
Central African Republic,October 2017,"1,629,508","409,037"
Central African Republic,November 2017,"447,390","428,798"
Central African Republic,December 2017,"1,917,450","250,972"
Central African Republic,January 2018,"67,369","272,567"
Central African Republic,February 2018,"116,125","166,378"
Central African Republic,March 2018,"1,115,320","146,882"
Central African Republic,April 2018,"203,451","55,303"
Central African Republic,May 2018,"1,218,808","109,954"
Central African Republic,June 2018,"1,074,565","335,122"
Central African Republic,July 2018,"151,595","116,733"
Central African Republic,August 2018,"1,237,611","483,590"
Central African Republic,September 2018,"2,888,727","196,062"
Central African Republic,October 2018,"894,060","159,097"
Central African Republic,November 2018,"509,424","563,859"
Central African Republic,December 2018,"404,511","180,618"
Central African Republic,January 2019,"373,854","333,154"
Central African Republic,February 2019,"1,065,022","174,660"
Central African Republic,March 2019,"2,151,026","213,143"
Central African Republic,April 2019,"2,693,022","346,748"
Central African Republic,May 2019,"5,879,403","1,061,318"
Central African Republic,June 2019,"610,412","229,726"
Central African Republic,July 2019,"750,803","560,505"
Central African Republic,August 2019,"523,576","83,294"
Central African Republic,September 2019,"597,998","116,928"
Central African Republic,October 2019,"833,510","2,370"
Central African Republic,November 2019,"446,759","263,882"
Central African Republic,December 2019,"1,059,658","148,950"
Chad,January 2016,"1,764,748","59,257,277"
Chad,February 2016,"3,334,840","67,459,321"
Chad,March 2016,"6,142,590","64,430,054"
Chad,April 2016,"1,006,036","104,678,101"
Chad,May 2016,"372,242","63,744,285"
Chad,June 2016,"2,269,241","136,323,630"
Chad,July 2016,"1,127,866","92,058,208"
Chad,August 2016,"1,524,021","90,344,720"
Chad,September 2016,"5,028,493","85,258,546"
Chad,October 2016,"486,912","656,681"
Chad,November 2016,"4,942,934","88,762,408"
Chad,December 2016,"4,817,361","45,569,396"
Chad,January 2017,"691,227","48,382,551"
Chad,February 2017,"1,522,464","27,748,699"
Chad,March 2017,"2,487,089","18,112,394"
Chad,April 2017,"900,346","1,168,240"
Chad,May 2017,"2,135,111","49,093,159"
Chad,June 2017,"3,342,624","10,041,505"
Chad,July 2017,"1,107,400","2,139,641"
Chad,August 2017,"1,182,360","1,667,595"
Chad,September 2017,"898,167","106,730,969"
Chad,October 2017,"1,781,496","66,078,582"
Chad,November 2017,"13,422,785","163,847,379"
Chad,December 2017,"1,867,417","30,539,744"
Chad,January 2018,"1,221,417","131,187,632"
Chad,February 2018,"2,514,180","97,252"
Chad,March 2018,"4,756,774","58,937,648"
Chad,April 2018,"2,561,471","388,300"
Chad,May 2018,"2,608,839","87,104"
Chad,June 2018,"3,168,820","72,200,118"
Chad,July 2018,"1,195,879","677,874"
Chad,August 2018,"12,428,436","139,321,884"
Chad,September 2018,"7,458,503","579,583"
Chad,October 2018,"5,411,401","73,157,548"
Chad,November 2018,"4,167,626","495,563"
Chad,December 2018,"3,886,945","2,270,828"
Chad,January 2019,"6,190,365","57,697,271"
Chad,February 2019,"3,329,635","293,250"
Chad,March 2019,"4,342,288","188,453"
Chad,April 2019,"4,693,672","186,633"
Chad,May 2019,"17,158,655","520,590"
Chad,June 2019,"6,785,157","35,117,419"
Chad,July 2019,"5,514,929","35,797,711"
Chad,August 2019,"7,213,964","25,990"
Chad,September 2019,"7,625,077","535,798"
Chad,October 2019,"10,836,863","548,247"
Chad,November 2019,"3,251,755","1,138,285"
Chad,December 2019,"7,690,423","787,108"
Chile,January 2016,"1,238,413,035","810,238,058"
Chile,February 2016,"778,254,422","864,169,270"
Chile,March 2016,"1,631,702,502","902,496,627"
Chile,April 2016,"884,528,978","743,859,707"
Chile,May 2016,"1,065,004,135","630,941,897"
Chile,June 2016,"1,490,585,402","666,414,898"
Chile,July 2016,"1,050,890,803","697,339,268"
Chile,August 2016,"961,309,145","695,423,499"
Chile,September 2016,"988,017,399","686,268,428"
Chile,October 2016,"909,183,206","611,278,563"
Chile,November 2016,"934,228,320","692,787,227"
Chile,December 2016,"1,004,393,551","795,684,059"
Chile,January 2017,"1,326,552,052","1,062,262,843"
Chile,February 2017,"920,221,676","931,527,056"
Chile,March 2017,"910,600,914","1,042,089,073"
Chile,April 2017,"1,094,400,449","909,346,014"
Chile,May 2017,"1,012,369,525","770,772,498"
Chile,June 2017,"1,062,879,341","849,915,407"
Chile,July 2017,"1,129,915,037","909,999,902"
Chile,August 2017,"1,521,261,691","775,795,135"
Chile,September 2017,"973,997,641","944,079,805"
Chile,October 2017,"1,130,155,910","780,572,623"
Chile,November 2017,"1,373,839,878","759,701,473"
Chile,December 2017,"1,176,649,643","814,200,355"
Chile,January 2018,"1,071,745,365","1,206,502,604"
Chile,February 2018,"1,049,981,493","1,127,581,030"
Chile,March 2018,"1,171,176,754","1,284,311,090"
Chile,April 2018,"1,171,449,963","1,018,632,010"
Chile,May 2018,"1,557,048,065","963,051,801"
Chile,June 2018,"1,159,914,871","866,952,597"
Chile,July 2018,"1,284,641,384","881,088,569"
Chile,August 2018,"1,365,168,648","824,359,265"
Chile,September 2018,"1,271,452,839","880,161,578"
Chile,October 2018,"1,508,760,263","851,392,749"
Chile,November 2018,"1,495,518,402","718,225,228"
Chile,December 2018,"1,205,482,164","762,461,130"
Chile,January 2019,"1,136,175,371","967,632,768"
Chile,February 2019,"1,197,952,240","888,228,675"
Chile,March 2019,"1,136,517,861","1,071,868,956"
