Country,Time,Total Exports Value ($US),Customs Import Value (Gen) ($US)
Algeria,November 2018,"156,608,612","274,544,105"
Algeria,December 2018,"148,040,047","435,386,335"
Algeria,January 2019,"32,671,090","208,838,732"
Algeria,February 2019,"51,162,771","107,859,568"
Algeria,March 2019,"91,307,965","381,455,197"
Algeria,April 2019,"52,724,410","345,600,860"
Algeria,May 2019,"141,292,676","451,526,567"
Algeria,June 2019,"122,467,553","279,399,385"
Algeria,July 2019,"150,684,082","179,324,794"
Algeria,August 2019,"100,195,440","142,459,200"
Algeria,September 2019,"30,662,509","143,038,326"
Algeria,October 2019,"46,423,754","106,796,568"
Algeria,November 2019,"85,369,576","86,657,616"
Algeria,December 2019,"94,920,007","46,572,644"
Andorra,January 2016,"695,077","1,533,577"
Andorra,February 2016,"110,546","202,557"
Andorra,March 2016,"527,495","459,278"
Andorra,April 2016,"228,854","86,018"
Andorra,May 2016,"160,834","563,012"
Andorra,June 2016,"187,663","223,404"
Andorra,July 2016,"185,697","1,717,816"
Andorra,August 2016,"164,252","34,340"
Andorra,September 2016,"151,042","95,125"
Andorra,October 2016,"87,982","11,592"
Andorra,November 2016,"125,559","31,678"
Andorra,December 2016,"205,267","1,651,672"
Andorra,January 2017,"421,211","922,783"
Andorra,February 2017,"633,296","948,830"
Andorra,March 2017,"236,694","852,013"
Andorra,April 2017,"167,562","826,350"
Andorra,May 2017,"131,663","1,245,786"
Andorra,June 2017,"190,980","847,767"
Andorra,July 2017,"459,027","1,099,496"
Andorra,August 2017,"155,631","87,025"
Andorra,September 2017,"351,256","133,061"
Andorra,October 2017,"206,732","1,966,283"
Andorra,November 2017,"168,550","2,356,843"
Andorra,December 2017,"162,565","2,407,133"
Andorra,January 2018,"73,924","1,924,308"
Andorra,February 2018,"299,989","1,029,162"
Andorra,March 2018,"188,959","652,598"
Andorra,April 2018,"330,177","1,239,501"
Andorra,May 2018,"290,289","1,801,628"
Andorra,June 2018,"456,011","1,256,210"
Andorra,July 2018,"256,663","386,450"
Andorra,August 2018,"175,516","1,054,920"
Andorra,September 2018,"129,645","374,644"
Andorra,October 2018,"206,892","85,511"
Andorra,November 2018,"399,678","2,106,464"
Andorra,December 2018,"258,019","4,105,453"
Andorra,January 2019,"281,782","2,076,330"
Andorra,February 2019,"273,624","2,260,176"
Andorra,March 2019,"261,941","2,226,047"
Andorra,April 2019,"91,338","3,307,745"
Andorra,May 2019,"481,404","37,580"
Andorra,June 2019,"352,395","574,223"
Andorra,July 2019,"185,017","190,778"
Andorra,August 2019,"183,377","175,492"
Andorra,September 2019,"342,500","215,795"
Andorra,October 2019,"455,169","551,140"
Andorra,November 2019,"241,753","237,948"
Andorra,December 2019,"200,086","359,640"
Angola,January 2016,"191,637,330","212,864,684"
Angola,February 2016,"65,957,183","181,299,545"
Angola,March 2016,"84,976,002","192,375,113"
Angola,April 2016,"226,418,833","232,977,022"
Angola,May 2016,"40,956,921","278,021,610"
Angola,June 2016,"55,435,792","176,995,748"
Angola,July 2016,"47,750,051","400,178,606"
Angola,August 2016,"46,756,814","278,510,406"
Angola,September 2016,"240,394,326","260,676,837"
Angola,October 2016,"96,679,299","168,614,106"
Angola,November 2016,"94,326,697","292,069,360"
Angola,December 2016,"58,468,936","180,989,406"
Angola,January 2017,"27,779,424","185,872,975"
Angola,February 2017,"28,849,677","102,523,184"
Angola,March 2017,"48,732,098","66,690,396"
Angola,April 2017,"95,086,758","120,809,031"
Angola,May 2017,"123,256,809","200,232,699"
Angola,June 2017,"65,666,823","270,254,233"
Angola,July 2017,"89,931,432","341,415,931"
Angola,August 2017,"87,556,163","327,490,691"
Angola,September 2017,"94,483,803","324,165,102"
Angola,October 2017,"84,915,975","265,342,334"
Angola,November 2017,"24,594,583","110,997,483"
Angola,December 2017,"38,639,942","287,862,866"
Angola,January 2018,"35,200,475","142,668,936"
Angola,February 2018,"23,328,818","65,551,897"
Angola,March 2018,"50,127,258","65,569,903"
Angola,April 2018,"49,616,612","445,104,948"
Angola,May 2018,"49,629,582","161,951,971"
Angola,June 2018,"46,160,774","452,704,654"
Angola,July 2018,"41,719,237","579,774,591"
Angola,August 2018,"48,018,848","321,219,319"
Angola,September 2018,"65,012,664","187,670,297"
Angola,October 2018,"39,932,608","172,017,730"
Angola,November 2018,"39,841,998","96,091,868"
Angola,December 2018,"36,391,618","8,056,351"
Angola,January 2019,"31,092,836","17,621,762"
Angola,February 2019,"39,796,581","3,021,946"
Angola,March 2019,"46,078,518","81,420,383"
Angola,April 2019,"32,024,302","98,304,014"
Angola,May 2019,"42,595,109","97,428,285"
Angola,June 2019,"47,657,193","199,178,152"
Angola,July 2019,"47,539,433","28,587,245"
Angola,August 2019,"64,905,950","75,090,074"
Angola,September 2019,"47,720,598","133,930,912"
Angola,October 2019,"42,628,809","152,676,798"
Angola,November 2019,"44,904,585","40,374,760"
Angola,December 2019,"47,781,084","26,906,868"
Anguilla,January 2016,"3,095,230","354,999"
Anguilla,February 2016,"3,064,195","320,232"
Anguilla,March 2016,"3,411,706","503,393"
Anguilla,April 2016,"2,486,223","339,748"
Anguilla,May 2016,"2,013,411","292,341"
Anguilla,June 2016,"2,961,297","93,487"
Anguilla,July 2016,"3,263,184","249,173"
Anguilla,August 2016,"2,428,170","610,956"
Anguilla,September 2016,"5,482,611","367,412"
Anguilla,October 2016,"4,148,516","208,036"
Anguilla,November 2016,"6,015,111","522,976"
Anguilla,December 2016,"4,526,979","187,073"
Anguilla,January 2017,"2,989,873","408,678"
Anguilla,February 2017,"2,915,764","445,009"
Anguilla,March 2017,"3,588,847","309,241"
Anguilla,April 2017,"5,906,069","531,600"
Anguilla,May 2017,"4,166,980","260,509"
Anguilla,June 2017,"2,678,285","249,095"
Anguilla,July 2017,"2,524,610","384,273"
Anguilla,August 2017,"3,359,008","444,998"
Anguilla,September 2017,"5,239,632","535,544"
Anguilla,October 2017,"8,515,778","192,440"
Anguilla,November 2017,"9,006,294","400,142"
Anguilla,December 2017,"8,507,159","400,556"
Anguilla,January 2018,"6,931,783","1,631,245"
Anguilla,February 2018,"8,792,332","216,580"
Anguilla,March 2018,"10,754,189","209,274"
Anguilla,April 2018,"9,589,568","314,757"
Anguilla,May 2018,"8,071,750","162,321"
Anguilla,June 2018,"9,610,153","305,315"
Anguilla,July 2018,"7,886,445","210,639"
Anguilla,August 2018,"9,451,507","329,851"
Anguilla,September 2018,"9,097,120","463,193"
Anguilla,October 2018,"14,696,939","187,237"
Anguilla,November 2018,"12,323,758","868,288"
Anguilla,December 2018,"8,499,909","175,193"
Anguilla,January 2019,"6,615,034","65,289"
Anguilla,February 2019,"6,512,817","176,842"
Anguilla,March 2019,"5,495,669","196,965"
Anguilla,April 2019,"5,979,716","130,132"
Anguilla,May 2019,"5,755,575","165,485"
Anguilla,June 2019,"4,692,057","92,677"
Anguilla,July 2019,"6,526,577","206,146"
Anguilla,August 2019,"5,917,169","353,117"
