Commodity,Time,Total Exports Value ($US),Customs Import Value (Gen) ($US),Balance ($US)
Waste And Scrap,2006,6047615135,133334958,5914280177
Waste And Scrap,2007,7330878620,70385487,7260493133
Waste And Scrap,2008,7513465837,92404654,7421061183
Waste And Scrap,2009,7176459255,79671074,7096788181
Waste And Scrap,2010,8602885525,104167146,8498718379
Waste And Scrap,2011,11555418042,119659424,11435758618
Waste And Scrap,2012,9525388016,153749077,9371638939
Waste And Scrap,2013,8762337896,128824736,8633513160
Waste And Scrap,2014,7118411102,137275625,6981135477
Waste And Scrap,2015,5977782673,107089621,5870693052
Waste And Scrap,2016,5181011049,97167326,5083843723
Waste And Scrap,2017,5643557498,137895584,5505661914
Waste And Scrap,2018,3438892889,140397699,3298495190
Waste And Scrap,2019,1724917340,168339514,1556577826
Used Or Second-hand Merchandise,2002,26848562,176975772,-150127210
Used Or Second-hand Merchandise,2003,9611316,173395752,-163784436
Used Or Second-hand Merchandise,2004,17347196,177393515,-160046319
Used Or Second-hand Merchandise,2005,14285605,283883930,-269598325
Used Or Second-hand Merchandise,2006,23844847,289016605,-265171758
Used Or Second-hand Merchandise,2007,34603318,386602824,-351999506
Used Or Second-hand Merchandise,2008,75909635,356491630,-280581995
Used Or Second-hand Merchandise,2009,49574298,184699935,-135125637
Used Or Second-hand Merchandise,2010,44404619,254000358,-209595739
Used Or Second-hand Merchandise,2011,73883299,303344946,-229461647
Used Or Second-hand Merchandise,2012,,,
Used Or Second-hand Merchandise,2013,,,
Used Or Second-hand Merchandise,2014,,,
Used Or Second-hand Merchandise,2015,,,
Used Or Second-hand Merchandise,2016,,,
Used Or Second-hand Merchandise,2017,,,
Used Or Second-hand Merchandise,2018,,,
Used Or Second-hand Merchandise,2019,,,
Used Or Second-hand Merchandise,2002,,,
Used Or Second-hand Merchandise,2003,,,
Used Or Second-hand Merchandise,2004,,,
Used Or Second-hand Merchandise,2005,,,
Used Or Second-hand Merchandise,2006,,,
Used Or Second-hand Merchandise,2007,,,
Used Or Second-hand Merchandise,2008,,,
Used Or Second-hand Merchandise,2009,,,
Used Or Second-hand Merchandise,2010,,,
Used Or Second-hand Merchandise,2011,,,
Used Or Second-hand Merchandise,2012,774937694,354096585,420841109
Used Or Second-hand Merchandise,2013,1002960243,342039473,660920770
Used Or Second-hand Merchandise,2014,1284525194,333492801,951032393
Used Or Second-hand Merchandise,2015,873451676,409457798,463993878
Used Or Second-hand Merchandise,2016,705234136,336503844,368730292
Used Or Second-hand Merchandise,2017,799675904,294435762,505240142
Used Or Second-hand Merchandise,2018,670395025,300476796,369918229
Used Or Second-hand Merchandise,2019,632709133,331457991,301251142
Goods Returned (exports For Canada Only),2002,,380171816,-380171816
Goods Returned (exports For Canada Only),2003,,473923646,-473923646
Goods Returned (exports For Canada Only),2004,,596261036,-596261036
Goods Returned (exports For Canada Only),2005,,692270024,-692270024
Goods Returned (exports For Canada Only),2006,,802367194,-802367194
Goods Returned (exports For Canada Only),2007,,966423311,-966423311
Goods Returned (exports For Canada Only),2008,,981563838,-981563838
Goods Returned (exports For Canada Only),2009,,1017948678,-1017948678
Goods Returned (exports For Canada Only),2010,,1126521678,-1126521678
Goods Returned (exports For Canada Only),2011,,1222880547,-1222880547
Goods Returned (exports For Canada Only),2012,,1634432681,-1634432681
Goods Returned (exports For Canada Only),2013,,1780456651,-1780456651
Goods Returned (exports For Canada Only),2014,,1972809887,-1972809887
Goods Returned (exports For Canada Only),2015,,2042575749,-2042575749
Goods Returned (exports For Canada Only),2016,,2046914087,-2046914087
Goods Returned (exports For Canada Only),2017,,2450587151,-2450587151
Goods Returned (exports For Canada Only),2018,,2722709117,-2722709117
Goods Returned (exports For Canada Only),2019,,3401332381,-3401332381
Other Special Classification Provisions,2002,301157580,1189690906,-888533326
Other Special Classification Provisions,2003,363559467,1518638084,-1155078617
Other Special Classification Provisions,2004,422341279,1988506385,-1566165106
Other Special Classification Provisions,2005,495483220,2439902399,-1944419179
Other Special Classification Provisions,2006,600009277,2883520218,-2283510941
Other Special Classification Provisions,2007,757825063,3775546490,-3017721427
Other Special Classification Provisions,2008,946940073,4239931712,-3292991639
Other Special Classification Provisions,2009,746388733,3493209153,-2746820420
Other Special Classification Provisions,2010,1502898635,3587285748,-2084387113
Other Special Classification Provisions,2011,1068216012,3897853841,-2829637829
Other Special Classification Provisions,2012,847180675,2758161757,-1910981082
Other Special Classification Provisions,2013,965395583,2773494764,-1808099181
Other Special Classification Provisions,2014,997007658,3446758909,-2449751251
Other Special Classification Provisions,2015,962316895,3481027890,-2518710995
Other Special Classification Provisions,2016,1028908724,3351250591,-2322341867
Other Special Classification Provisions,2017,1191699994,3660150068,-2468450074
Other Special Classification Provisions,2018,1167220281,4105685483,-2938465202
Other Special Classification Provisions,2019,1170286549,4800976653,-3630690104
