Commodity,Month,Year,Quarter,Time,Balance ($US),Total Exports Value ($US),Customs Import Value (Gen) ($US)
All Commodities,January,2002,Q1,January 2002,-6846054338,1569313503,8415367841
All Commodities,February,2002,Q1,February 2002,-6491284627,1529492578,8020777205
All Commodities,March,2002,Q1,March 2002,-5638471747,1620488889,7258960636
All Commodities,April,2002,Q2,April 2002,-7553013934,1544544989,9097558923
All Commodities,May,2002,Q2,May 2002,-8073020819,1773915631,9846936450
All Commodities,June,2002,Q2,June 2002,-8521227849,2205939528,10727167377
All Commodities,July,2002,Q3,July 2002,-9365219748,1847999145,11213218893
All Commodities,August,2002,Q3,August 2002,-10831610144,1839815968,12671426112
All Commodities,September,2002,Q3,September 2002,-10267792906,2023728253,12291521159
All Commodities,October,2002,Q4,October 2002,-9492259430,1962695203,11454954633
All Commodities,November,2002,Q4,November 2002,-10408826648,2160758163,12569584811
All Commodities,December,2002,Q4,December 2002,-9575892568,2049098442,11624991010
All Commodities,January,2003,Q1,January 2003,-9333665682,2069831893,11403497575
All Commodities,February,2003,Q1,February 2003,-7580956295,2048670815,9629627110
All Commodities,March,2003,Q1,March 2003,-7686939854,2423104708,10110044562
All Commodities,April,2003,Q2,April 2003,-9399905702,2121946680,11521852382
All Commodities,May,2003,Q2,May 2003,-9900382810,1984318683,11884701493
All Commodities,June,2003,Q2,June 2003,-10007680292,2119621137,12127301429
All Commodities,July,2003,Q3,July 2003,-11371229512,2067405578,13438635090
All Commodities,August,2003,Q3,August 2003,-11730438781,2034428227,13764867008
All Commodities,September,2003,Q3,September 2003,-12656548622,2090976796,14747525418
All Commodities,October,2003,Q4,October 2003,-13679981152,2778336455,16458317607
All Commodities,November,2003,Q4,November 2003,-10837255312,3319692649,14156947961
All Commodities,December,2003,Q4,December 2003,-9883170025,3309609238,13192779263
All Commodities,January,2004,Q1,January 2004,-11468525703,2620489793,14089015496
All Commodities,February,2004,Q1,February 2004,-8338156059,2928991616,11267147675
All Commodities,March,2004,Q1,March 2004,-10438209270,3361910701,13800119971
All Commodities,April,2004,Q2,April 2004,-12010230290,2734553860,14744784150
All Commodities,May,2004,Q2,May 2004,-12232058855,2835052068,15067110923
All Commodities,June,2004,Q2,June 2004,-14123545467,2764217124,16887762591
All Commodities,July,2004,Q3,July 2004,-14943305964,2618793915,17562099879
All Commodities,August,2004,Q3,August 2004,-15446896244,2620970808,18067867052
All Commodities,September,2004,Q3,September 2004,-15563875193,2823070552,18386945745
All Commodities,October,2004,Q4,October 2004,-16771413659,2946743822,19718157481
All Commodities,November,2004,Q4,November 2004,-16740816772,2938175371,19678992143
All Commodities,December,2004,Q4,December 2004,-14177228003,3234802826,17412030829
All Commodities,January,2005,Q1,January 2005,-15276514484,2609326126,17885840610
All Commodities,February,2005,Q1,February 2005,-13879505721,3058089091,16937594812
All Commodities,March,2005,Q1,March 2005,-12848563774,3336381178,16184944952
All Commodities,April,2005,Q2,April 2005,-14884787406,3263670754,18148458160
All Commodities,May,2005,Q2,May 2005,-15830277142,3222909738,19053186880
All Commodities,June,2005,Q2,June 2005,-17605971051,3370730806,20976701857
All Commodities,July,2005,Q3,July 2005,-17712697315,3559972145,21272669460
All Commodities,August,2005,Q3,August 2005,-18692568501,3728723847,22421292348
All Commodities,September,2005,Q3,September 2005,-20128668413,3165813266,23294481679
All Commodities,October,2005,Q4,October 2005,-20483701230,3899151496,24382852726
All Commodities,November,2005,Q4,November 2005,-18618636744,3807491572,22426128316
All Commodities,December,2005,Q4,December 2005,-16316202891,4169750104,20485952995
All Commodities,January,2006,Q1,January 2006,-17985635758,3396870149,21382505907
All Commodities,February,2006,Q1,February 2006,-13833108381,4072245086,17905353467
All Commodities,March,2006,Q1,March 2006,-15664193620,4867064710,20531258330
All Commodities,April,2006,Q2,April 2006,-17226665438,4232404495,21459069933
All Commodities,May,2006,Q2,May 2006,-17883545082,4434090049,22317635131
All Commodities,June,2006,Q2,June 2006,-19686794060,4302905336,23989699396
All Commodities,July,2006,Q3,July 2006,-19825735662,4806275103,24632010765
All Commodities,August,2006,Q3,August 2006,-22110066658,4603268577,26713335235
All Commodities,September,2006,Q3,September 2006,-23109608039,4461009876,27570617915
All Commodities,October,2006,Q4,October 2006,-24503337564,4885264175,29388601739
All Commodities,November,2006,Q4,November 2006,-23179256599,4595822622,27775079221
All Commodities,December,2006,Q4,December 2006,-19093397408,5015788165,24109185573
All Commodities,January,2007,Q1,January 2007,-21251028051,4389534621,25640562672
All Commodities,February,2007,Q1,February 2007,-18505990388,4532889974,23038880362
All Commodities,March,2007,Q1,March 2007,-17297650347,5425393888,22723044235
All Commodities,April,2007,Q2,April 2007,-19537571558,4703951215,24241522773
All Commodities,May,2007,Q2,May 2007,-20161137702,5129436740,25290574442
All Commodities,June,2007,Q2,June 2007,-21509187948,5561773250,27070961198
All Commodities,July,2007,Q3,July 2007,-23935233558,4665937256,28601170814
All Commodities,August,2007,Q3,August 2007,-22871703868,5552797567,28424501435
All Commodities,September,2007,Q3,September 2007,-24107091621,5311870909,29418962530
All Commodities,October,2007,Q4,October 2007,-26022486420,5532919982,31555406402
All Commodities,November,2007,Q4,November 2007,-24199213792,5581504999,29780718791
All Commodities,December,2007,Q4,December 2007,-19107680105,6548881175,25656561280
All Commodities,January,2008,Q1,January 2008,-20636323293,5556708852,26193032145
All Commodities,February,2008,Q1,February 2008,-18397831678,5698054777,24095886455
All Commodities,March,2008,Q1,March 2008,-16145890062,6294351708,22440241770
All Commodities,April,2008,Q2,April 2008,-20300418636,5651248360,25951666996
All Commodities,May,2008,Q2,May 2008,-21358860127,6275672316,27634532443
All Commodities,June,2008,Q2,June 2008,-21742474197,6188166337,27930640534
All Commodities,July,2008,Q3,July 2008,-25012634967,6234635702,31247270669
All Commodities,August,2008,Q3,August 2008,-25622401511,6201296378,31823697889
All Commodities,September,2008,Q3,September 2008,-27821083988,5257646643,33078730631
All Commodities,October,2008,Q4,October 2008,-27948988148,6083400135,34032388283
All Commodities,November,2008,Q4,November 2008,-23084074890,5180950140,28265025030
All Commodities,December,2008,Q4,December 2008,-19968808783,5110706195,25079514978
All Commodities,January,2009,Q1,January 2009,-20583807646,4159649756,24743457402
All Commodities,February,2009,Q1,February 2009,-14183813848,4661681362,18845495210
All Commodities,March,2009,Q1,March 2009,-15645454490,5579259023,21224713513
All Commodities,April,2009,Q2,April 2009,-16759152639,5161442609,21920595248
All Commodities,May,2009,Q2,May 2009,-17478129748,5256018098,22734147846
All Commodities,June,2009,Q2,June 2009,-18424199656,5548574581,23972774237
All Commodities,July,2009,Q3,July 2009,-20401797708,5269286701,25671084409
All Commodities,August,2009,Q3,August 2009,-20280145429,5517974227,25798119656
All Commodities,September,2009,Q3,September 2009,-22129567804,5764348788,27893916592
All Commodities,October,2009,Q4,October 2009,-22678482832,6879300033,29557782865
All Commodities,November,2009,Q4,November 2009,-20167560139,7374160636,27541720775
All Commodities,December,2009,Q4,December 2009,-18145092938,8324982797,26470075735
All Commodities,January,2010,Q1,January 2010,-18317560150,6898358856,25215919006
All Commodities,February,2010,Q1,February 2010,-16502550033,6840227481,23342777514
All Commodities,March,2010,Q1,March 2010,-16891438582,7400774615,24292213197
All Commodities,April,2010,Q2,April 2010,-19319462715,6600725426,25920188141
All Commodities,May,2010,Q2,May 2010,-22297152550,6755285795,29052438345
All Commodities,June,2010,Q2,June 2010,-26109381487,6733718548,32843100035
All Commodities,July,2010,Q3,July 2010,-25927577562,7339256032,33266833594
All Commodities,August,2010,Q3,August 2010,-28165553582,7209734849,35375288431
All Commodities,September,2010,Q3,September 2010,-28082387628,7114311226,35196698854
All Commodities,October,2010,Q4,October 2010,-25666010910,9417288527,35083299437
All Commodities,November,2010,Q4,November 2010,-25088448927,9475844966,34564293893
All Commodities,December,2010,Q4,December 2010,-20674028525,10125554623,30799583148
All Commodities,January,2011,Q1,January 2011,-23359561912,8017791834,31377353746
All Commodities,February,2011,Q1,February 2011,-18861425689,8383310124,27244735813
All Commodities,March,2011,Q1,March 2011,-18035938576,9563728281,27599666857
All Commodities,April,2011,Q2,April 2011,-21579779390,8000503316,29580282706
All Commodities,May,2011,Q2,May 2011,-24938912298,7849159315,32788071613
All Commodities,June,2011,Q2,June 2011,-26507825705,7867005088,34374830793
All Commodities,July,2011,Q3,July 2011,-26994342067,8157901187,35152243254
All Commodities,August,2011,Q3,August 2011,-28952494457,8421642066,37374136523
All Commodities,September,2011,Q3,September 2011,-28048579304,8370063556,36418642860
All Commodities,October,2011,Q4,October 2011,-28078515559,9745556144,37824071703
All Commodities,November,2011,Q4,November 2011,-26767716047,9997195589,36764911636
All Commodities,December,2011,Q4,December 2011,-23124617992,9747667135,32872285127
All Commodities,January,2012,Q1,January 2012,-26058067707,8359472713,34417540420
All Commodities,February,2012,Q1,February 2012,-19319523641,8785662778,28105186419
All Commodities,March,2012,Q1,March 2012,-21619772405,9811576526,31431348931
All Commodities,April,2012,Q2,April 2012,-24548111852,8468141982,33016253834
All Commodities,May,2012,Q2,May 2012,-25977674946,8960154977,34937829923
All Commodities,June,2012,Q2,June 2012,-27471242143,8478117308,35949359451
All Commodities,July,2012,Q3,July 2012,-29415659705,8515095501,37930755206
All Commodities,August,2012,Q3,August 2012,-28667293825,8613335319,37280629144
All Commodities,September,2012,Q3,September 2012,-29087613369,8804209690,37891823059
All Commodities,October,2012,Q4,October 2012,-29432652128,10824431396,40257083524
All Commodities,November,2012,Q4,November 2012,-28955907635,10587785547,39543693182
All Commodities,December,2012,Q4,December 2012,-24548947609,10308631935,34857579544
All Commodities,January,2013,Q1,January 2013,-27810735657,9382923146,37193658803
All Commodities,February,2013,Q1,February 2013,-23609359985,9133317600,32742677585
All Commodities,March,2013,Q1,March 2013,-17755035864,9539031339,27294067203
All Commodities,April,2013,Q2,April 2013,-24177971774,8953954532,33131926306
All Commodities,May,2013,Q2,May 2013,-27864795955,8752827685,36617623640
All Commodities,June,2013,Q2,June 2013,-26668352502,9217626330,35885978832
All Commodities,July,2013,Q3,July 2013,-30076722478,8723708150,38800430628
All Commodities,August,2013,Q3,August 2013,-29809180019,9352119496,39161299515
All Commodities,September,2013,Q3,September 2013,-30617215865,9527176643,40144392508
All Commodities,October,2013,Q4,October 2013,-28697708309,13147763822,41845472131
All Commodities,November,2013,Q4,November 2013,-27085196972,13027082593,40112279565
All Commodities,December,2013,Q4,December 2013,-24511555575,12988657301,37500212876
All Commodities,January,2014,Q1,January 2014,-28112657018,10264542542,38377199560
All Commodities,February,2014,Q1,February 2014,-20949656145,9750696184,30700352329
All Commodities,March,2014,Q1,March 2014,-20486599175,10934276106,31420875281
All Commodities,April,2014,Q2,April 2014,-27418317983,9031900812,36450218795
All Commodities,May,2014,Q2,May 2014,-28967973788,9220161982,38188135770
All Commodities,June,2014,Q2,June 2014,-30276899087,9330219574,39607118661
All Commodities,July,2014,Q3,July 2014,-31027827282,9291791064,40319618346
All Commodities,August,2014,Q3,August 2014,-30468644322,9625172763,40093817085
All Commodities,September,2014,Q3,September 2014,-35788807711,9313967699,45102775410
All Commodities,October,2014,Q4,October 2014,-32742017424,12593334298,45335351722
All Commodities,November,2014,Q4,November 2014,-30357598919,12125930519,42483529438
All Commodities,December,2014,Q4,December 2014,-28220692596,12175209863,40395902459
All Commodities,January,2015,Q1,January 2015,-29130498337,9459198394,38589696731
All Commodities,February,2015,Q1,February 2015,-22809399977,8754588178,31563988155
All Commodities,March,2015,Q1,March 2015,-31250398366,9886519164,41136917530
All Commodities,April,2015,Q2,April 2015,-26841481617,9279912850,36121394467
All Commodities,May,2015,Q2,May 2015,-30332242342,8749787563,39082029905
All Commodities,June,2015,Q2,June 2015,-31838085680,9615754115,41453839795
All Commodities,July,2015,Q3,July 2015,-31709904617,9505173559,41215078176
All Commodities,August,2015,Q3,August 2015,-34954599191,9183456081,44138055272
All Commodities,September,2015,Q3,September 2015,-36305530076,9419421166,45724951242
All Commodities,October,2015,Q4,October 2015,-32985076272,11324856248,44309932520
All Commodities,November,2015,Q4,November 2015,-31281181471,10603592681,41884774152
All Commodities,December,2015,Q4,December 2015,-27889892104,10091105315,37980997419
All Commodities,January,2016,Q1,January 2016,-28917547743,8208886377,37126434120
All Commodities,February,2016,Q1,February 2016,-27986377462,8080515063,36066892525
All Commodities,March,2016,Q1,March 2016,-20886765697,8925561211,29812326908
All Commodities,April,2016,Q2,April 2016,-24240536063,8679668476,32920204539
All Commodities,May,2016,Q2,May 2016,-28971763554,8541963035,37513726589
All Commodities,June,2016,Q2,June 2016,-29693632418,8845557796,38539190214
All Commodities,July,2016,Q3,July 2016,-30309191457,9129666281,39438857738
All Commodities,August,2016,Q3,August 2016,-33848854947,9372919258,43221774205
All Commodities,September,2016,Q3,September 2016,-32499776611,9521151936,42020928547
All Commodities,October,2016,Q4,October 2016,-31198093714,12600004710,43798098424
All Commodities,November,2016,Q4,November 2016,-30558546910,12044084823,42602631733
All Commodities,December,2016,Q4,December 2016,-27714120550,11644805511,39358926061
All Commodities,January,2017,Q1,January 2017,-31380030594,9955522802,41335553396
All Commodities,February,2017,Q1,February 2017,-23045142497,9739814915,32784957412
All Commodities,March,2017,Q1,March 2017,-24441809552,9720184109,34161993661
All Commodities,April,2017,Q2,April 2017,-27635394053,9806476826,37441870879
All Commodities,May,2017,Q2,May 2017,-31876821200,9880023522,41756844722
All Commodities,June,2017,Q2,June 2017,-32539867690,9718210931,42258078621
All Commodities,July,2017,Q3,July 2017,-33607047544,9954063313,43561110857
All Commodities,August,2017,Q3,August 2017,-34956851179,10825460770,45782311949
All Commodities,September,2017,Q3,September 2017,-34509071971,10895979304,45405051275
All Commodities,October,2017,Q4,October 2017,-35169927442,12963222187,48133149629
All Commodities,November,2017,Q4,November 2017,-35196399188,12908394227,48104793415
All Commodities,December,2017,Q4,December 2017,-30809507904,13629874337,44439382241
All Commodities,January,2018,Q1,January 2018,-35839714626,9910227741,45749942367
All Commodities,February,2018,Q1,February 2018,-29261850514,9741752846,39003603360
All Commodities,March,2018,Q1,March 2018,-25641930970,12653174318,38295105288
All Commodities,April,2018,Q2,April 2018,-27758897551,10510478379,38269375930
All Commodities,May,2018,Q2,May 2018,-33542028511,10396624247,43938652758
All Commodities,June,2018,Q2,June 2018,-33712940317,10858294665,44571234982
All Commodities,July,2018,Q3,July 2018,-36931059713,10156527887,47087587600
All Commodities,August,2018,Q3,August 2018,-38536558974,9280892425,47817451399
All Commodities,September,2018,Q3,September 2018,-40255664416,9732404733,49988069149
All Commodities,October,2018,Q4,October 2018,-42982552446,9187533643,52170086089
All Commodities,November,2018,Q4,November 2018,-37794803057,8650888998,46445692055
All Commodities,December,2018,Q4,December 2018,-36695850459,9210487995,45906338454
All Commodities,January,2019,Q1,January 2019,-34409324145,7105125159,41514449304
All Commodities,February,2019,Q1,February 2019,-25071607653,8083304442,33154912095
All Commodities,March,2019,Q1,March 2019,-20600639365,10574937623,31175576988
All Commodities,April,2019,Q2,April 2019,-26799636307,7883015916,34682652223
All Commodities,May,2019,Q2,May 2019,-30103942061,9069418815,39173360876
All Commodities,June,2019,Q2,June 2019,-29800945499,9166696315,38967641814
All Commodities,July,2019,Q3,July 2019,-32754912332,8694298164,41449210496
All Commodities,August,2019,Q3,August 2019,-31735496339,9415647335,41151143674
All Commodities,September,2019,Q3,September 2019,-31568190457,8597272439,40165462896
All Commodities,October,2019,Q4,October 2019,-31263667701,8851210888,40114878589
All Commodities,November,2019,Q4,November 2019,-26333272849,10103334138,36436606987
All Commodities,December,2019,Q4,December 2019,-24762552315,8902989856,33665542171
Agricultural Products,January,2002,Q1,January 2002,203427993,216357463,12929470
Agricultural Products,February,2002,Q1,February 2002,144113567,155206914,11093347
Agricultural Products,March,2002,Q1,March 2002,4188454,14860976,10672522
Agricultural Products,April,2002,Q2,April 2002,7819808,18109447,10289639
Agricultural Products,May,2002,Q2,May 2002,9206363,18985230,9778867
Agricultural Products,June,2002,Q2,June 2002,28699993,37769207,9069214
Agricultural Products,July,2002,Q3,July 2002,19020075,33020329,14000254
Agricultural Products,August,2002,Q3,August 2002,11872832,26753210,14880378
Agricultural Products,September,2002,Q3,September 2002,3389857,19507761,16117904
Agricultural Products,October,2002,Q4,October 2002,266464423,276675112,10210689
Agricultural Products,November,2002,Q4,November 2002,257311898,269179711,11867813
Agricultural Products,December,2002,Q4,December 2002,135692975,151339802,15646827
Agricultural Products,January,2003,Q1,January 2003,394131323,410166419,16035096
Agricultural Products,February,2003,Q1,February 2003,441502398,456770794,15268396
Agricultural Products,March,2003,Q1,March 2003,306997813,318514079,11516266
Agricultural Products,April,2003,Q2,April 2003,189567376,202073566,12506190
Agricultural Products,May,2003,Q2,May 2003,51086873,65087942,14001069
Agricultural Products,June,2003,Q2,June 2003,18735678,31429248,12693570
Agricultural Products,July,2003,Q3,July 2003,59937491,70437023,10499532
Agricultural Products,August,2003,Q3,August 2003,17169369,26796417,9627048
Agricultural Products,September,2003,Q3,September 2003,46045583,59977544,13931961
Agricultural Products,October,2003,Q4,October 2003,463249573,478935216,15685643
Agricultural Products,November,2003,Q4,November 2003,868156205,885680522,17524317
Agricultural Products,December,2003,Q4,December 2003,737393547,756981967,19588420
Agricultural Products,January,2004,Q1,January 2004,507437548,523905137,16467589
Agricultural Products,February,2004,Q1,February 2004,509094482,524099601,15005119
Agricultural Products,March,2004,Q1,March 2004,485856476,500071000,14214524
Agricultural Products,April,2004,Q2,April 2004,255231735,272554129,17322394
Agricultural Products,May,2004,Q2,May 2004,238803227,256019601,17216374
Agricultural Products,June,2004,Q2,June 2004,132977809,151927357,18949548
Agricultural Products,July,2004,Q3,July 2004,80465029,99647283,19182254
Agricultural Products,August,2004,Q3,August 2004,69029035,86806124,17777089
Agricultural Products,September,2004,Q3,September 2004,287475551,304844716,17369165
Agricultural Products,October,2004,Q4,October 2004,568561398,586871357,18309959
Agricultural Products,November,2004,Q4,November 2004,517708928,540364611,22655683
Agricultural Products,December,2004,Q4,December 2004,489677589,516483863,26806274
Agricultural Products,January,2005,Q1,January 2005,308646336,332797469,24151133
Agricultural Products,February,2005,Q1,February 2005,441993372,462278534,20285162
Agricultural Products,March,2005,Q1,March 2005,355494509,376668734,21174225
Agricultural Products,April,2005,Q2,April 2005,184899854,202344109,17444255
Agricultural Products,May,2005,Q2,May 2005,151185095,170520530,19335435
Agricultural Products,June,2005,Q2,June 2005,165477416,187578277,22100861
Agricultural Products,July,2005,Q3,July 2005,325206743,345270328,20063585
Agricultural Products,August,2005,Q3,August 2005,156168143,179054119,22885976
Agricultural Products,September,2005,Q3,September 2005,99912918,123737129,23824211
Agricultural Products,October,2005,Q4,October 2005,535514928,557572881,22057953
Agricultural Products,November,2005,Q4,November 2005,534645029,557200730,22555701
Agricultural Products,December,2005,Q4,December 2005,377648108,401918333,24270225
Agricultural Products,January,2006,Q1,January 2006,452245733,475611539,23365806
Agricultural Products,February,2006,Q1,February 2006,697763213,718251211,20487998
Agricultural Products,March,2006,Q1,March 2006,759120299,778778565,19658266
Agricultural Products,April,2006,Q2,April 2006,341050477,364188059,23137582
Agricultural Products,May,2006,Q2,May 2006,271692207,294911335,23219128
Agricultural Products,June,2006,Q2,June 2006,201672950,226907556,25234606
Agricultural Products,July,2006,Q3,July 2006,296601449,320111765,23510316
Agricultural Products,August,2006,Q3,August 2006,53518802,83693746,30174944
Agricultural Products,September,2006,Q3,September 2006,118691837,143797473,25105636
Agricultural Products,October,2006,Q4,October 2006,603944631,630681622,26736991
Agricultural Products,November,2006,Q4,November 2006,358031568,387670693,29639125
Agricultural Products,December,2006,Q4,December 2006,397490161,430019450,32529289
Agricultural Products,January,2007,Q1,January 2007,454531581,486569699,32038118
Agricultural Products,February,2007,Q1,February 2007,577791746,604720090,26928344
Agricultural Products,March,2007,Q1,March 2007,378028477,405426958,27398481
Agricultural Products,April,2007,Q2,April 2007,289018137,316070199,27052062
Agricultural Products,May,2007,Q2,May 2007,271109596,298949600,27840004
Agricultural Products,June,2007,Q2,June 2007,220745507,249035868,28290361
Agricultural Products,July,2007,Q3,July 2007,202363906,232336802,29972896
Agricultural Products,August,2007,Q3,August 2007,322423423,356378293,33954870
Agricultural Products,September,2007,Q3,September 2007,288952545,319117108,30164563
Agricultural Products,October,2007,Q4,October 2007,614219085,640426281,26207196
Agricultural Products,November,2007,Q4,November 2007,747799983,780220754,32420771
Agricultural Products,December,2007,Q4,December 2007,1076978946,1116389130,39410184
Agricultural Products,January,2008,Q1,January 2008,955751479,996881562,41130083
Agricultural Products,February,2008,Q1,February 2008,940313754,975379335,35065581
Agricultural Products,March,2008,Q1,March 2008,942754327,968552588,25798261
Agricultural Products,April,2008,Q2,April 2008,469780325,507272343,37492018
Agricultural Products,May,2008,Q2,May 2008,416198513,453515427,37316914
Agricultural Products,June,2008,Q2,June 2008,524509907,557878087,33368180
Agricultural Products,July,2008,Q3,July 2008,559396840,592307665,32910825
Agricultural Products,August,2008,Q3,August 2008,233512410,264216639,30704229
Agricultural Products,September,2008,Q3,September 2008,225449498,252274902,26825404
Agricultural Products,October,2008,Q4,October 2008,1129131081,1159913655,30782574
Agricultural Products,November,2008,Q4,November 2008,1206333347,1234068172,27734825
Agricultural Products,December,2008,Q4,December 2008,1185405334,1223480048,38074714
Agricultural Products,January,2009,Q1,January 2009,922992277,954943841,31951564
Agricultural Products,February,2009,Q1,February 2009,1259573912,1279163885,19589973
Agricultural Products,March,2009,Q1,March 2009,624979882,649523486,24543604
Agricultural Products,April,2009,Q2,April 2009,515594212,551546122,35951910
Agricultural Products,May,2009,Q2,May 2009,259632433,288455216,28822783
Agricultural Products,June,2009,Q2,June 2009,324376626,358777814,34401188
Agricultural Products,July,2009,Q3,July 2009,264826692,293582953,28756261
Agricultural Products,August,2009,Q3,August 2009,295832490,324333986,28501496
Agricultural Products,September,2009,Q3,September 2009,327967434,357362658,29395224
Agricultural Products,October,2009,Q4,October 2009,1445154052,1481171146,36017094
Agricultural Products,November,2009,Q4,November 2009,2139454627,2175667696,36213069
Agricultural Products,December,2009,Q4,December 2009,1810734503,1861289418,50554915
Agricultural Products,January,2010,Q1,January 2010,1603855159,1645145693,41290534
Agricultural Products,February,2010,Q1,February 2010,1149486737,1184814297,35327560
Agricultural Products,March,2010,Q1,March 2010,875010699,912238886,37228187
Agricultural Products,April,2010,Q2,April 2010,441647908,478417167,36769259
Agricultural Products,May,2010,Q2,May 2010,191028360,231365927,40337567
Agricultural Products,June,2010,Q2,June 2010,183530218,227198347,43668129
Agricultural Products,July,2010,Q3,July 2010,439327956,473065985,33738029
Agricultural Products,August,2010,Q3,August 2010,503549310,539331733,35782423
Agricultural Products,September,2010,Q3,September 2010,509865050,544502018,34636968
Agricultural Products,October,2010,Q4,October 2010,2565422681,2602107199,36684518
Agricultural Products,November,2010,Q4,November 2010,2777765491,2818188768,40423277
Agricultural Products,December,2010,Q4,December 2010,2110893150,2162689313,51796163
Agricultural Products,January,2011,Q1,January 2011,1886093696,1931291013,45197317
Agricultural Products,February,2011,Q1,February 2011,1976644614,2013228413,36583799
Agricultural Products,March,2011,Q1,March 2011,1538726247,1575300308,36574061
Agricultural Products,April,2011,Q2,April 2011,772728219,815396424,42668205
Agricultural Products,May,2011,Q2,May 2011,379731115,422451526,42720411
Agricultural Products,June,2011,Q2,June 2011,224361823,266479310,42117487
Agricultural Products,July,2011,Q3,July 2011,250239921,284544097,34304176
Agricultural Products,August,2011,Q3,August 2011,305709995,338500850,32790855
Agricultural Products,September,2011,Q3,September 2011,497952854,529132627,31179773
Agricultural Products,October,2011,Q4,October 2011,2090914197,2130866143,39951946
Agricultural Products,November,2011,Q4,November 2011,2431618480,2478178151,46559671
Agricultural Products,December,2011,Q4,December 2011,1860783301,1915181454,54398153
Agricultural Products,January,2012,Q1,January 2012,2055896663,2103077071,47180408
Agricultural Products,February,2012,Q1,February 2012,2042247235,2078475587,36228352
Agricultural Products,March,2012,Q1,March 2012,1633149497,1678360510,45211013
Agricultural Products,April,2012,Q2,April 2012,823047693,868773588,45725895
Agricultural Products,May,2012,Q2,May 2012,1024641771,1073021888,48380117
Agricultural Products,June,2012,Q2,June 2012,693675774,753969241,60293467
Agricultural Products,July,2012,Q3,July 2012,814381443,868701490,54320047
Agricultural Products,August,2012,Q3,August 2012,986217888,1032665313,46447425
Agricultural Products,September,2012,Q3,September 2012,1368404110,1417772012,49367902
Agricultural Products,October,2012,Q4,October 2012,3209487717,3263880110,54392393
Agricultural Products,November,2012,Q4,November 2012,3285420041,3359336521,73916480
Agricultural Products,December,2012,Q4,December 2012,2143954561,2217351584,73397023
Agricultural Products,January,2013,Q1,January 2013,2213597633,2287525695,73928062
Agricultural Products,February,2013,Q1,February 2013,2001205655,2046730305,45524650
Agricultural Products,March,2013,Q1,March 2013,1149337642,1195718259,46380617
Agricultural Products,April,2013,Q2,April 2013,396779034,446994416,50215382
Agricultural Products,May,2013,Q2,May 2013,273056662,330947192,57890530
Agricultural Products,June,2013,Q2,June 2013,244809769,301955934,57146165
Agricultural Products,July,2013,Q3,July 2013,292141848,348359075,56217227
Agricultural Products,August,2013,Q3,August 2013,329325732,381419360,52093628
Agricultural Products,September,2013,Q3,September 2013,968995860,1020578465,51582605
Agricultural Products,October,2013,Q4,October 2013,3497215664,3559266520,62050856
Agricultural Products,November,2013,Q4,November 2013,4024921402,4083517764,58596362
Agricultural Products,December,2013,Q4,December 2013,2837249229,2898895350,61646121
Agricultural Products,January,2014,Q1,January 2014,2739693061,2805577136,65884075
Agricultural Products,February,2014,Q1,February 2014,2124412827,2171320088,46907261
Agricultural Products,March,2014,Q1,March 2014,1210439374,1246981262,36541888
Agricultural Products,April,2014,Q2,April 2014,423041985,475780750,52738765
Agricultural Products,May,2014,Q2,May 2014,231751799,287293166,55541367
Agricultural Products,June,2014,Q2,June 2014,126191500,178501744,52310244
Agricultural Products,July,2014,Q3,July 2014,232316812,286285356,53968544
Agricultural Products,August,2014,Q3,August 2014,234091274,276871290,42780016
Agricultural Products,September,2014,Q3,September 2014,684563680,729589903,45026223
Agricultural Products,October,2014,Q4,October 2014,3205067326,3261742871,56675545
Agricultural Products,November,2014,Q4,November 2014,3745972781,3796073861,50101080
Agricultural Products,December,2014,Q4,December 2014,2704627482,2775431435,70803953
Agricultural Products,January,2015,Q1,January 2015,2194785299,2256852481,62067182
Agricultural Products,February,2015,Q1,February 2015,1450901438,1495121469,44220031
Agricultural Products,March,2015,Q1,March 2015,1021266758,1075792834,54526076
Agricultural Products,April,2015,Q2,April 2015,570826466,625910862,55084396
Agricultural Products,May,2015,Q2,May 2015,323097622,376846998,53749376
Agricultural Products,June,2015,Q2,June 2015,175533976,232283242,56749266
Agricultural Products,July,2015,Q3,July 2015,275513467,333886468,58373001
Agricultural Products,August,2015,Q3,August 2015,213663993,268393959,54729966
Agricultural Products,September,2015,Q3,September 2015,689223252,737858375,48635123
Agricultural Products,October,2015,Q4,October 2015,2999239532,3061806058,62566526
Agricultural Products,November,2015,Q4,November 2015,2645543407,2702311495,56768088
Agricultural Products,December,2015,Q4,December 2015,1636784754,1697944371,61159617
Agricultural Products,January,2016,Q1,January 2016,1557727973,1610144805,52416832
Agricultural Products,February,2016,Q1,February 2016,1412110450,1459048828,46938378
Agricultural Products,March,2016,Q1,March 2016,648461880,692737348,44275468
Agricultural Products,April,2016,Q2,April 2016,247485679,300365923,52880244
Agricultural Products,May,2016,Q2,May 2016,171666913,229646678,57979765
Agricultural Products,June,2016,Q2,June 2016,226866358,281896146,55029788
Agricultural Products,July,2016,Q3,July 2016,683384519,728343340,44958821
Agricultural Products,August,2016,Q3,August 2016,989164910,1046244392,57079482
Agricultural Products,September,2016,Q3,September 2016,1132319941,1177180318,44860377
Agricultural Products,October,2016,Q4,October 2016,3565534599,3620830405,55295806
